Stress_Level,Total_Score
Low,1
High,27
High,24
Low,3
Medium,15
Medium,12
High,30
Low,1
Low,6
Low,2
Medium,14
Low,8
Medium,18
Medium,16
High,29
Medium,20
Low,4
Medium,13
High,25
Medium,20
Medium,20
Medium,11
Low,0
Medium,18
Low,1
Low,8
Low,0
Medium,15
Low,5
Low,5
Medium,14
Low,5
Medium,18
Low,1
High,30
Medium,19
Low,10
Low,6
Medium,13
Medium,14
High,24
Low,7
Low,9
High,27
Medium,18
Low,7
Low,1
Medium,15
Medium,14
Low,10
High,26
Medium,12
Low,5
Low,6
Medium,11
Medium,17
High,24
Medium,13
Medium,13
Medium,14
High,25
Medium,20
Medium,12
Medium,19
Low,10
Medium,16
Medium,15
High,28
Low,5
High,21
High,27
Medium,14
Medium,12
Low,3
Low,5
Low,8
Medium,17
Low,0
Low,6
Medium,20
Low,10
High,24
High,26
Low,3
Medium,20
Low,4
Medium,15
Medium,17
Low,4
Low,6
Low,2
Medium,15
Low,5
Medium,14
Medium,16
High,28
Low,10
Medium,17
Low,0
Medium,18
High,23
Low,1
High,26
Low,1
Low,5
Low,3
Medium,11
Low,1
Medium,14
Low,10
Low,10
High,28
Low,7
Medium,15
High,23
Medium,18
High,27
Low,8
Medium,14
Low,0
Low,7
Medium,17
Medium,13
Medium,12
Low,1
Medium,20
Low,5
High,24
High,23
Low,5
Low,2
Low,8
Medium,16
Low,4
Medium,17
Medium,14
Low,2
High,28
Medium,11
Medium,11
Low,6
Low,8
High,29
Low,6
Medium,14
Low,8
Medium,19
High,21
High,30
Low,1
Medium,18
Low,3
High,24
High,29
High,22
High,25
Low,4
Low,4
Medium,16
Low,0
Low,3
Medium,18
Medium,15
Low,7
Medium,12
High,23
Medium,17
Medium,17
Medium,14
Medium,14
Medium,14
Low,3
Low,4
Low,6
Low,4
Medium,20
Medium,17
Medium,15
Low,9
Medium,15
Low,8
Low,0
Low,0
Medium,20
Low,7
Low,7
Low,4
High,29
Medium,20
Medium,15
Medium,12
High,27
Low,9
Low,1
Low,3
Medium,13
High,28
Low,3
Low,9
Low,9
Low,3
Low,9
High,28
Low,7
Medium,18
Medium,16
Medium,12
Low,3
High,27
High,28
Low,10
High,23
Low,5
Medium,18
Low,7
Medium,15
Medium,13
High,24
High,25
Medium,18
Low,4
Medium,12
Medium,18
Low,0
Low,7
High,21
Medium,13
Low,10
Medium,14
Medium,13
High,22
Low,7
Low,10
Medium,16
Medium,19
Low,9
Medium,16
Low,6
Low,8
Medium,13
Medium,18
Low,7
Medium,17
High,29
Low,2
Medium,11
High,27
High,21
Medium,19
Medium,13
Medium,14
Low,1
Low,9
Low,8
Low,7
Low,2
Medium,17
High,22
Medium,12
High,27
High,25
Low,7
Medium,19
Low,2
Medium,17
Low,10
Low,2
Medium,18
High,28
Low,0
Medium,15
Low,9
High,26
Low,4
Low,0
Low,7
Medium,13
Medium,14
Low,10
Low,3
Low,0
Low,2
Low,6
Low,5
Medium,19
Medium,12
Medium,11
Low,2
Low,6
Medium,13
Low,6
Low,4
Medium,20
High,23
Medium,16
Low,7
Medium,20
Medium,19
Medium,19
Low,1
Medium,15
High,25
Medium,17
Low,0
High,21
Low,6
High,29
Low,8
Low,7
Medium,17
Low,6
Medium,19
Low,8
Medium,20
High,27
Medium,15
Low,0
Medium,18
High,22
Low,6
Low,2
Low,2
Medium,15
High,30
High,25
Low,3
High,29
Low,7
Low,4
Medium,16
High,22
Low,4
High,23
High,23
Low,4
Low,1
Low,9
Medium,16
High,21
High,26
Low,9
High,29
Low,6
Medium,12
Low,3
Low,5
Medium,14
Low,8
Medium,13
Low,1
High,23
Medium,12
Low,4
Low,2
High,29
Medium,15
High,24
Low,3
Medium,11
Low,3
Medium,19
Medium,19
Low,10
Medium,19
Medium,16
Low,10
Medium,18
Low,4
Medium,20
Low,10
Low,3
High,29
Medium,11
Medium,15
Low,2
Medium,12
Medium,19
Medium,17
High,21
Medium,14
Medium,13
Medium,12
Low,1
High,25
Medium,20
High,28
Medium,11
High,29
High,25
Medium,17
High,30
Low,1
Medium,19
Medium,19
Low,4
Low,8
Medium,18
Medium,16
High,24
High,21
High,27
High,23
Low,3
Medium,18
High,29
Low,10
High,22
Medium,19
Medium,14
Medium,18
